bodyId_pre,bodyId_post,roi,weight,type_pre,type_post
10182,16917,LO(L),6,T2,LC4
10182,27750,LO(L),7,T2,LC4
10182,29417,LO(L),6,T2,LC4
10182,29469,LO(L),3,T2,LC4
10182,30087,LO(L),9,T2,LC4
10182,31301,LO(L),4,T2,LC4
10182,35262,LO(L),2,T2,LC4
10182,111787,LO(L),2,T2,LC4
10851,16917,LO(L),11,Tm2,LC4
10851,30087,LO(L),2,Tm2,LC4
11000,32237,LO(L),2,Tm16,LPLC2
11000,40811,LO(L),2,Tm16,LPLC2
11766,23226,LO(L),5,Tm5Y,LC4
11766,28011,LO(L),2,Tm5Y,LPLC2
11766,54962,LO(L),4,Tm5Y,LC6
11766,70691,LO(L),3,Tm5Y,LC6
11766,513999,LO(L),2,Tm5Y,LC6
11766,517079,LO(L),3,Tm5Y,LPLC2
11766,520764,LO(L),8,Tm5Y,LPLC2
11766,521115,LO(L),7,Tm5Y,LPLC2
11766,536444,LO(L),6,Tm5Y,LPLC2
11766,536444,Optic-unspecified(L),3,Tm5Y,LPLC2
12080,27750,LO(L),3,Tm5Y,LC4
12080,29753,LO(L),3,Tm5Y,LPLC2
12080,29753,Optic-unspecified(L),1,Tm5Y,LPLC2
12080,34051,LO(L),6,Tm5Y,LPLC2
12080,37903,LO(L),2,Tm5Y,LC6
12080,524366,LO(L),2,Tm5Y,LPLC2
12116,22253,LO(L),1,Tm2,LPLC2
12116,22922,LO(L),5,Tm2,LC4
12116,31308,LO(L),3,Tm2,LC4
12116,519931,LO(L),7,Tm2,LC4
12234,43248,LO(L),2,Tm16,LC6
12234,514670,LO(L),6,Tm16,LPLC2
12277,29319,LO(L),1,TmY15,LPLC2
12277,29319,LOP(L),1,TmY15,LPLC2
12277,29417,LO(L),2,TmY15,LC4
12277,29469,LO(L),1,TmY15,LC4
12277,30087,LO(L),2,TmY15,LC4
12277,32737,LOP(L),1,TmY15,LPLC2
12277,33965,LOP(L),1,TmY15,LPLC2
12694,16809,LO(L),2,TmY15,LC4
12694,26416,LO(L),1,TmY15,LPLC2
12694,518730,LO(L),2,TmY15,LC4
12709,31105,LO(L),3,TmY5a,LPLC2
12709,32237,LOP(L),3,TmY5a,LPLC2
12741,17653,LO(L),8,Tm2,LC4
12741,20859,LO(L),4,Tm2,LC4
