bodyId_pre,bodyId_post,roi,weight,type_pre,type_post
11498,10010,PVLP(L),2,LPLC2,DNp01
11498,10228,PVLP(L),12,LPLC2,DNp06
11498,10234,PVLP(L),22,LPLC2,DNp35
11498,10361,PVLP(L),1,LPLC2,DNg40
11498,10377,PVLP(L),1,LPLC2,DNge054
11498,10417,PVLP(L),15,LPLC2,DNp103
11498,10449,PVLP(L),25,LPLC2,DNpe025
11498,10590,PVLP(L),1,LPLC2,DNpe052
11498,519771,PVLP(L),14,LPLC2,DNp71
11498,531898,PVLP(L),31,LPLC2,DNp04
12032,10010,PVLP(L),62,LC4,DNp01
12032,10197,PVLP(L),44,LC4,DNp02
12032,10228,PVLP(L),6,LC4,DNp06
12032,10234,PVLP(L),6,LC4,DNp35
12032,10259,PVLP(L),56,LC4,DNp11
12032,10361,PVLP(L),6,LC4,DNg40
12032,10417,PVLP(L),4,LC4,DNp103
12032,10449,PVLP(L),2,LC4,DNpe025
12032,10752,PVLP(L),27,LC4,DNp03
12032,11573,PVLP(L),2,LC4,DNpe021
12032,524001,PVLP(L),9,LC4,DNp05
12032,531898,PVLP(L),84,LC4,DNp04
12349,10010,PVLP(L),62,LC4,DNp01
12349,10197,PVLP(L),26,LC4,DNp02
12349,10228,PVLP(L),16,LC4,DNp06
12349,10234,PVLP(L),2,LC4,DNp35
12349,10259,PVLP(L),27,LC4,DNp11
12349,10361,PVLP(L),22,LC4,DNg40
12349,10417,PVLP(L),7,LC4,DNp103
12349,10449,PVLP(L),5,LC4,DNpe025
12349,10752,PVLP(L),28,LC4,DNp03
12349,524001,PVLP(L),3,LC4,DNp05
12349,531898,PVLP(L),160,LC4,DNp04
12384,10010,PVLP(L),20,LPLC2,DNp01
12384,10223,PVLP(L),5,LPLC2,DNpe056
12384,10228,PVLP(L),20,LPLC2,DNp06
12384,10234,PVLP(L),13,LPLC2,DNp35
12384,10244,PVLP(L),1,LPLC2,DNp55
12384,10417,PVLP(L),20,LPLC2,DNp103
12384,10449,PVLP(L),18,LPLC2,DNpe025
12384,10590,PVLP(L),3,LPLC2,DNpe052
12384,519771,PVLP(L),19,LPLC2,DNp71
12384,531898,PVLP(L),44,LPLC2,DNp04
12824,10010,PVLP(L),44,LC4,DNp01
12824,10010,WED(L),14,LC4,DNp01
12824,10197,PVLP(L),51,LC4,DNp02
12824,10197,WED(L),9,LC4,DNp02
12824,10197,CentralBrain-unspecified,1,LC4,DNp02
12824,10228,PVLP(L),13,LC4,DNp06
12824,10234,PVLP(L),1,LC4,DNp35
12824,10259,WED(L),1,LC4,DNp11
12824,10361,PVLP(L),2,LC4,DNg40
12824,10449,PVLP(L),5,LC4,DNpe025
12824,10705,PVLP(L),1,LC4,DNc02
12824,10752,PVLP(L),21,LC4,DNp03
12824,524001,PVLP(L),21,LC4,DNp05
12824,524001,WED(L),1,LC4,DNp05
12824,531898,PVLP(L),108,LC4,DNp04
13132,10010,PVLP(L),8,LPLC2,DNp01
13132,10228,PVLP(L),21,LPLC2,DNp06
13132,10234,PVLP(L),9,LPLC2,DNp35
13132,10244,PVLP(L),1,LPLC2,DNp55
13132,10361,PVLP(L),2,LPLC2,DNg40
13132,10417,PVLP(L),13,LPLC2,DNp103
13132,10449,PVLP(L),17,LPLC2,DNpe025
13132,10590,PVLP(L),10,LPLC2,DNpe052
13132,519771,PVLP(L),13,LPLC2,DNp71
13132,531898,PVLP(L),34,LPLC2,DNp04
13726,10010,PVLP(L),43,LPLC2,DNp01
13726,10091,PVLP(L),4,LPLC2,DNpe042
13726,10223,PVLP(L),3,LPLC2,DNpe056
13726,10228,PVLP(L),2,LPLC2,DNp06
13726,10244,PVLP(L),3,LPLC2,DNp55
13726,10361,PVLP(L),5,LPLC2,DNg40
13726,10417,PVLP(L),22,LPLC2,DNp103
13726,10449,PVLP(L),10,LPLC2,DNpe025
13726,10590,PVLP(L),1,LPLC2,DNpe052
13726,519771,PVLP(L),16,LPLC2,DNp71
13726,531898,PVLP(L),50,LPLC2,DNp04
13764,10010,PVLP(L),6,LPLC2,DNp01
13764,10063,PVLP(L),1,LPLC2,DNp27
13764,10091,PVLP(L),2,LPLC2,DNpe042
13764,10223,PVLP(L),2,LPLC2,DNpe056
13764,10228,PVLP(L),15,LPLC2,DNp06
13764,10234,PVLP(L),23,LPLC2,DNp35
13764,10361,PVLP(L),3,LPLC2,DNg40
13764,10377,PVLP(L),3,LPLC2,DNge054
13764,10417,PVLP(L),18,LPLC2,DNp103
13764,10449,PVLP(L),16,LPLC2,DNpe025
13764,10590,PVLP(L),5,LPLC2,DNpe052
13764,10931,PVLP(L),1,LPLC2,DNpe045
13764,519771,PVLP(L),11,LPLC2,DNp71
13764,531898,PVLP(L),28,LPLC2,DNp04
13882,10342,ME(L),1,T4a,DNc02
14030,10010,PVLP(L),4,LPLC2,DNp01
14030,10091,PVLP(L),2,LPLC2,DNpe042
14030,10223,PVLP(L),1,LPLC2,DNpe056
14030,10228,PVLP(L),9,LPLC2,DNp06
14030,10234,PVLP(L),3,LPLC2,DNp35
14030,10361,PVLP(L),1,LPLC2,DNg40
14030,10377,PVLP(L),2,LPLC2,DNge054
14030,10417,PVLP(L),11,LPLC2,DNp103
14030,10449,PVLP(L),18,LPLC2,DNpe025
14030,519771,PVLP(L),10,LPLC2,DNp71
14030,531898,PVLP(L),48,LPLC2,DNp04
14102,10010,PVLP(L),27,LPLC2,DNp01
14102,10091,PVLP(L),1,LPLC2,DNpe042
14102,10223,PVLP(L),2,LPLC2,DNpe056
14102,10228,PVLP(L),14,LPLC2,DNp06
14102,10234,PVLP(L),7,LPLC2,DNp35
14102,10361,PVLP(L),2,LPLC2,DNg40
14102,10377,PVLP(L),2,LPLC2,DNge054
14102,10417,PVLP(L),24,LPLC2,DNp103
14102,10449,PVLP(L),15,LPLC2,DNpe025
14102,519771,PVLP(L),13,LPLC2,DNp71
14102,531898,PVLP(L),33,LPLC2,DNp04
14465,10001,PVLP(R),21,LPLC2,DNp01
14465,10283,PVLP(R),29,LPLC2,DNp103
14465,10558,PVLP(R),6,LPLC2,DNp35
14465,10584,PVLP(R),6,LPLC2,DNp06
14465,10601,PVLP(R),13,LPLC2,DNpe025
14465,11137,PVLP(R),33,LPLC2,DNp04
14465,11159,PVLP(R),4,LPLC2,DNp71
14465,11632,PVLP(R),2,LPLC2,DNpe052
14888,10010,PVLP(L),55,LC4,DNp01
14888,10197,PVLP(L),33,LC4,DNp02
14888,10228,PVLP(L),21,LC4,DNp06
14888,10234,PVLP(L),4,LC4,DNp35
14888,10259,PVLP(L),7,LC4,DNp11
14888,10361,PVLP(L),1,LC4,DNg40
14888,10417,PVLP(L),1,LC4,DNp103
14888,10449,PVLP(L),3,LC4,DNpe025
14888,10752,PVLP(L),20,LC4,DNp03
14888,10931,PVLP(L),1,LC4,DNpe045
14888,11573,PVLP(L),2,LC4,DNpe021
14888,524001,PVLP(L),8,LC4,DNp05
14888,531898,PVLP(L),132,LC4,DNp04
15018,10010,PVLP(L),40,LC4,DNp01
15018,10197,PVLP(L),6,LC4,DNp02
15018,10228,PVLP(L),9,LC4,DNp06
15018,10234,PVLP(L),2,LC4,DNp35
15018,10259,PVLP(L),69,LC4,DNp11
15018,10259,LO(L),6,LC4,DNp11
15018,10361,PVLP(L),19,LC4,DNg40
15018,10752,PVLP(L),34,LC4,DNp03
15018,11573,PVLP(L),9,LC4,DNpe021
15018,531898,PVLP(L),104,LC4,DNp04
15804,10010,PVLP(L),33,LPLC2,DNp01
15804,10223,PVLP(L),9,LPLC2,DNpe056
15804,10234,PVLP(L),4,LPLC2,DNp35
15804,10244,PVLP(L),2,LPLC2,DNp55
15804,10361,PVLP(L),4,LPLC2,DNg40
15804,10417,PVLP(L),12,LPLC2,DNp103
15804,10449,PVLP(L),10,LPLC2,DNpe025
15804,10590,PVLP(L),5,LPLC2,DNpe052
15804,10931,PVLP(L),3,LPLC2,DNpe045
15804,519771,PVLP(L),10,LPLC2,DNp71
15804,531898,PVLP(L),26,LPLC2,DNp04
16128,10001,PVLP(R),65,LC4,DNp01
16128,10106,PVLP(R),6,LC4,DNp11
16128,10117,PVLP(R),57,LC4,DNp02
16128,10283,PVLP(R),2,LC4,DNp103
16128,10558,PVLP(R),10,LC4,DNp35
16128,10584,PVLP(R),2,LC4,DNp06
16128,10923,PVLP(R),5,LC4,DNg40
16128,10989,PVLP(R),14,LC4,DNp03
16128,11020,PVLP(R),23,LC4,DNp05
16128,11137,PVLP(R),122,LC4,DNp04
16128,11137,CentralBrain-unspecified,6,LC4,DNp04
16128,11513,PVLP(R),1,LC4,DNp07
16128,575082,PVLP(R),3,LC4,DNpe021
16138,10001,PVLP(R),52,LC4,DNp01
16138,10106,PVLP(R),27,LC4,DNp11
16138,10117,PVLP(R),38,LC4,DNp02
16138,10283,PVLP(R),4,LC4,DNp103
16138,10558,PVLP(R),1,LC4,DNp35
16138,10584,PVLP(R),10,LC4,DNp06
16138,10601,PVLP(R),4,LC4,DNpe025
16138,10732,PVLP(R),2,LC4,DNpe056
16138,10923,PVLP(R),2,LC4,DNg40
16138,10989,PVLP(R),8,LC4,DNp03
16138,11020,PVLP(R),17,LC4,DNp05
16138,11020,PLP(R),1,LC4,DNp05
16138,11137,PVLP(R),67,LC4,DNp04
16628,10001,PVLP(R),53,LC4,DNp01
16628,10063,LO(R),1,LC4,DNp27
16628,10065,PVLP(R),1,LC4,DNb05
16628,10106,PVLP(R),9,LC4,DNp11
16628,10117,PVLP(R),71,LC4,DNp02
16628,10117,CentralBrain-unspecified,1,LC4,DNp02
16628,10558,PVLP(R),11,LC4,DNp35
16628,10584,PVLP(R),8,LC4,DNp06
16628,10584,CentralBrain-unspecified,1,LC4,DNp06
16628,10923,PVLP(R),2,LC4,DNg40
16628,10989,PVLP(R),23,LC4,DNp03
16628,11020,PVLP(R),24,LC4,DNp05
16628,11137,PVLP(R),115,LC4,DNp04
16628,11137,CentralBrain-unspecified,3,LC4,DNp04
16628,575082,PVLP(R),1,LC4,DNpe021
16809,10010,PVLP(L),40,LC4,DNp01
16809,10197,PVLP(L),23,LC4,DNp02
16809,10228,PVLP(L),5,LC4,DNp06
16809,10234,PVLP(L),2,LC4,DNp35
16809,10259,PVLP(L),30,LC4,DNp11
16809,10361,PVLP(L),11,LC4,DNg40
16809,10417,PVLP(L),1,LC4,DNp103
16809,10580,PVLP(L),1,LC4,DNp70
16809,10752,PVLP(L),19,LC4,DNp03
16809,10931,PVLP(L),2,LC4,DNpe045
16809,11573,PVLP(L),1,LC4,DNpe021
16809,531898,PVLP(L),120,LC4,DNp04
16917,10010,PVLP(L),62,LC4,DNp01
